日期,指数
2015/06/05,1000 
2015/06/12,1022 
2015/06/19,1090 
2015/06/26,1012 
2015/07/03,1043 
2015/07/10,1049 
2015/07/17,1033 
2015/07/24,988 
2015/07/31,1028 
2015/08/07,980 
2015/08/14,939 
2015/08/21,1004 
2015/08/28,989 
2015/09/04,943 
2015/09/11,961 
2015/09/18,1009 
2015/09/25,1003 
2015/10/02,1032 
2015/10/09,1016 
2015/10/16,1014 
2015/10/23,1017 
2015/10/30,1017 
2015/11/06,1032 
2015/11/13,1073 
2015/11/20,1105 
2015/11/27,1049 
2015/12/04,1186 
2015/12/11,1175 
2015/12/18,1213 
2015/12/25,1145 
2016/01/01,1139 
2016/01/08,1116 
2016/01/15,1056 
2016/01/22,1068 
2016/01/29,1136 
2016/02/05,1124 
2016/02/12,1148 
2016/02/19,1005 
2016/02/26,1028 
2016/03/04,1111 
2016/03/11,1097 
2016/03/18,1171 
2016/03/25,1121 
2016/04/01,1140 
2016/04/08,1189 
2016/04/15,1140 
2016/04/22,1139 
2016/04/29,1120 
2016/05/06,1100 
2016/05/13,1123 
2016/05/20,992 
2016/05/27,1052 
2016/06/03,969 
2016/06/10,1031 
2016/06/18,977 
2016/06/25,894 
2016/07/01,927 
2016/07/08,970 
2016/07/15,969 
2016/07/22,1045 
2016/07/29,995 
2016/08/05,985 
2016/08/12,1000 
2016/08/19,1073 
2016/08/26,1068 
2016/09/02,1055 
2016/09/09,1075 
2016/09/16,997 
2016/09/23,1036 
2016/09/30,1049 
2016/10/07,1064 
2016/10/14,1036 
2016/10/21,1088 
2016/10/28,1081 
2016/11/04,1101 
2016/11/11,1147 
2016/11/18,1244 
2016/11/25,1327 
2016/12/02,1500 
2016/12/09,1639 
2016/12/16,1650 
2016/12/23,1653 
2016/12/30,1611 
2017/01/06,1495 
2017/01/13,1434 
2017/01/20,1457 
2017/01/27,1517 
2017/02/03,1420 
2017/02/10,1378 
2017/02/17,1316 
2017/02/24,1383 
2017/03/03,1416 
2017/03/10,1422 
2017/03/17,1423 
2017/03/24,1506 
2017/03/31,1469 
2017/04/07,1368 
2017/04/14,1264 
2017/04/21,1113 
2017/04/28,1037 
2017/05/05,977 
2017/05/12,973 
2017/05/19,945 
2017/05/26,945 
2017/06/02,903 
2017/06/09,856 
2017/06/16,830 
2017/06/23,834 
2017/06/30,843 
2017/07/07,881 
2017/07/14,961 
2017/07/21,990 
2017/07/28,1102 
2017/08/04,1109 
2017/08/11,1070 
2017/08/18,1031 
2017/08/25,1033 
2017/09/01,1049 
2017/09/08,1044 
2017/09/15,1023 
2017/09/22,1067 
2017/09/29,1137 
2017/10/06,1165 
2017/10/13,1171 
2017/10/20,1175 
2017/10/27,1156 
2017/11/03,1323 
2017/11/10,1525 
2017/11/17,1699 
2017/11/24,1773 
2017/12/01,1738 
2017/12/08,1582 
2017/12/15,1539 
2017/12/22,1494 
2017/12/29,1483 
2018/01/05,1428
2018/01/12,1364
2018/01/19,1268
2018/01/26,1192
2018/02/02,1117
2018/02/09,1082
2018/02/16,1029
2018/02/23,1033
2018/03/02,1098
2018/03/09,1124
2018/03/16,1174
2018/03/23,1214
2018/03/30,1212
2018/04/06,1215
2018/04/13,1214
2018/04/20,1255
2018/04/27,1209
2018/05/04,1176
2018/05/11,1154
2018/05/18,1085
2018/05/25,1076
2018/06/01,1074
2018/06/08,1034
2018/06/15,1007
2018/06/22,1016
2018/06/29,1025
2018/07/06,1090
2018/07/13,1171
2018/07/20,1258
2018/07/27,1305
2018/08/03,1258
2018/08/10,1288
2018/08/17,1228
2018/08/24,1229
2018/08/31,1230
2018/09/07,1253
2018/09/14,1289
2018/09/21,1328
2018/09/28,1405
2018/10/05,1391
2018/10/12,1382
2018/10/19,1389
2018/10/26,1414
2018/11/02,1481
2018/11/09,1475
2018/11/16,1475
2018/11/23,1486
